entry_id,log_entry,severity,event_summary,recommended_action,indicators
20fd12b4b3,2026-09-10T02:14:03Z sshd[1021]: Failed password for invalid user admin from 203.0.113.45 port 51322 ssh2,Medium,Repeated or suspicious authentication failure detected.,Review source IP against recent login history; consider temporary lockout if repeated.,203.0.113.45
6b793a3ec3,2026-09-10T02:14:05Z sshd[1021]: Failed password for invalid user admin from 203.0.113.45 port 51330 ssh2,Medium,Repeated or suspicious authentication failure detected.,Review source IP against recent login history; consider temporary lockout if repeated.,203.0.113.45
4ad73a7d05,2026-09-10T02:14:07Z sshd[1021]: Failed password for invalid user root from 203.0.113.45 port 51340 ssh2,Medium,Repeated or suspicious authentication failure detected.,Review source IP against recent login history; consider temporary lockout if repeated.,203.0.113.45
b08b2ff74e,2026-09-10T03:02:11Z firewall: DROP src=198.51.100.22 dst=10.0.0.5 dport=445 proto=TCP reason=policy_deny,Low,Log entry does not match a known high-risk pattern; manual review suggested.,Analyst should review the raw entry for context not captured by automated rules.,10.0.0.5; 198.51.100.22
599b85971b,"2026-09-10T04:45:52Z edr-agent: Detected process powershell.exe spawning encoded command, possible shellcode injection, host=WKSTN-114, hash=44d88612fea8a8f36de82e1278abb02f",Critical,Indicators of malware or active exploitation detected in log entry.,Isolate affected host immediately and escalate to incident response.,44d88612fea8a8f36de82e1278abb02f
9b9a15d3d3,2026-09-10T05:12:00Z ids: Nmap scan detected from 192.0.2.77 targeting ports 1-1024 on 10.0.0.0/24,Low,Network reconnaissance / scanning activity observed.,Log and monitor source IP; block if scanning continues or intensifies.,10.0.0.0; 192.0.2.77
e3f46127b5,2026-09-10T06:30:44Z auth: user=jsmith successful login from 10.0.0.14 via VPN,Low,Log entry does not match a known high-risk pattern; manual review suggested.,Analyst should review the raw entry for context not captured by automated rules.,10.0.0.14; jsmith
d6a4b8de2f,2026-09-10T07:05:19Z mail-gateway: Blocked attachment invoice_0912.exe from sender billing@totally-legit-invoice.ru flagged as trojan,Critical,Indicators of malware or active exploitation detected in log entry.,Isolate affected host immediately and escalate to incident response.,
4861d29e3a,2026-09-10T08:22:31Z proxy: Denied connection to known malicious domain evil-c2-domain.example dst_ip=192.0.2.200,Informational,Traffic was denied by an existing control; no immediate action indicated.,No action required; retain for trend analysis.,192.0.2.200
ebdc69789e,2026-09-10T09:00:00Z auth: user=admin password changed successfully from 10.0.0.5,Low,Log entry does not match a known high-risk pattern; manual review suggested.,Analyst should review the raw entry for context not captured by automated rules.,10.0.0.5; admin
