timestamp,source_ip,event_type,user,action,target,bytes,status
2026-07-20T14:23:45Z,192.168.1.100,FIREWALL,SYSTEM,ALLOW,10.0.0.50,15234,FLAGGED
2026-07-20T14:23:45Z,192.168.1.100,FIREWALL,SYSTEM,DENY,10.0.0.90,0,FLAGGED
2026-07-20T14:24:10Z,203.0.113.5,FIREWALL,SYSTEM,DENY,198.51.100.20,0,VALID
2026-07-20T14:25:00Z,192.168.1.100,AUTH,alice,SUCCESS,auth-server,0,FLAGGED
2026-07-20T14:26:15Z,203.0.113.9,AUTH,mallory,FAILURE,auth-server,0,VALID
2026-07-20T14:27:30Z,192.168.1.100,DNS,SYSTEM,QUERY,malicious.example.com,0,FLAGGED
2026-07-20T14:28:05Z,203.0.113.5,DNS,SYSTEM,QUERY,safe-example.org,0,VALID
2026-07-20T14:29:00Z,UNKNOWN,FILE,bob,READ,/etc/passwd,0,VALID
2026-07-20T14:30:00Z,UNKNOWN,FILE,carol,WRITE,/var/www/config.php,0,VALID
2026-07-20T14:31:20Z,UNKNOWN,FIREWALL,SYSTEM,ALLOW,10.0.0.60,512,FLAGGED
2026-07-20T14:35:40Z,192.168.1.100,FIREWALL,SYSTEM,ALLOW,10.0.0.75,2048,FLAGGED
2026-07-20T14:36:00Z,10.0.0.15,AUTH,frank,SUCCESS,auth-server,0,FLAGGED
2026-07-20T14:37:00Z,203.0.113.44,AUTH,grace,SUCCESS,auth-server,0,VALID
2026-07-20T14:38:00Z,UNKNOWN,SERVICE_RESTART,SYSTEM,RESTART,nginx,0,VALID
2026-07-20T14:39:15Z,10.0.0.22,DNS,SYSTEM,QUERY,internal-app.local,0,FLAGGED
2026-07-20T14:40:00Z,UNKNOWN,FILE,heidi,READ,/home/heidi/report.docx,0,VALID
2026-07-20T14:41:00Z,192.168.1.201,AUTH,admin,FAILURE,auth-server,0,FLAGGED
2026-07-20T14:41:05Z,192.168.1.202,AUTH,admin,FAILURE,auth-server,0,FLAGGED
2026-07-20T14:41:09Z,192.168.1.203,AUTH,admin,FAILURE,auth-server,0,FLAGGED
2026-07-20T14:42:30Z,203.0.113.5,FIREWALL,SYSTEM,ALLOW,8.8.8.8,128,VALID
UNKNOWN,192.168.1.100,DNS,SYSTEM,QUERY,badclock.example.com,0,FLAGGED
